ReadID	Length
m84085_250303_235918_s4/238687849/ccs	13950
m84085_250303_235918_s4/232918211/ccs	9280
m84085_250303_235918_s4/231347758/ccs	15346
m84085_250303_235918_s4/256905400/ccs	8978
m84085_250303_235918_s4/232788639/ccs	7828
m84085_250303_235918_s4/218305326/ccs	14922
m84085_250303_235918_s4/248713400/ccs	5981
m84085_250303_235918_s4/259265105/ccs	8741
m84085_250303_235918_s4/189731041/ccs	5774
m84085_250303_235918_s4/264047753/ccs	6122
m84085_250303_235918_s4/221713563/ccs	16494
m84085_250303_235918_s4/221057760/ccs	4112
m84085_250303_235918_s4/225644930/ccs	3612
m84085_250303_235918_s4/246484554/ccs	8538
m84085_250303_235918_s4/266210505/ccs	12014
m84085_250303_235918_s4/248844499/ccs	15178
m84085_250303_235918_s4/237505707/ccs	5852
m84085_250303_235918_s4/212209578/ccs	8352
m84085_250303_235918_s4/252841150/ccs	5270
m84085_250303_235918_s4/209917152/ccs	8327
m84085_250303_235918_s4/216534387/ccs	5887
m84085_250303_235918_s4/252580578/ccs	7254
m84085_250303_235918_s4/242815705/ccs	9601
m84085_250303_235918_s4/250156868/ccs	5694
m84085_250303_235918_s4/231740119/ccs	8952
m84085_250303_235918_s4/241439101/ccs	14469
m84085_250303_235918_s4/245894346/ccs	7137
m84085_250303_235918_s4/255528173/ccs	12293
m84085_250303_235918_s4/265556340/ccs	17962
m84085_250303_235918_s4/232526835/ccs	10615
m84085_250303_235918_s4/234228756/ccs	6013
m84085_250303_235918_s4/264769612/ccs	15103
m84085_250303_235918_s4/257431210/ccs	5205
m84085_250303_235918_s4/242619010/ccs	18611
m84085_250303_235918_s4/226039528/ccs	13745
m84085_250303_235918_s4/218697743/ccs	11853
m84085_250303_235918_s4/226038923/ccs	9092
m84085_250303_235918_s4/259329071/ccs	5182
m84085_250303_235918_s4/220466599/ccs	5521
m84085_250303_235918_s4/226103103/ccs	9541
m84085_250303_235918_s4/250614242/ccs	5354
m84085_250303_235918_s4/212408218/ccs	5797
m84085_250303_235918_s4/265949405/ccs	6457
m84085_250303_235918_s4/217978627/ccs	18893
m84085_250303_235918_s4/266145835/ccs	15944
m84085_250303_235918_s4/258610611/ccs	1900
m84085_250303_235918_s4/260903941/ccs	8295
m84085_250303_235918_s4/227612245/ccs	16114
m84085_250303_235918_s4/244977351/ccs	11396
m84085_250303_235918_s4/266276516/ccs	18215
m84085_250303_235918_s4/210702630/ccs	10046
m84085_250303_235918_s4/265228931/ccs	8469
m84085_250303_235918_s4/243930131/ccs	4141
m84085_250303_235918_s4/254416325/ccs	14122
m84085_250303_235918_s4/221908315/ccs	5288
m84085_250303_235918_s4/259331507/ccs	7091
m84085_250303_235918_s4/240455751/ccs	9046
m84085_250303_235918_s4/248910321/ccs	9022
m84085_250303_235918_s4/254545028/ccs	5313
m84085_250303_235918_s4/252711790/ccs	10454
m84085_250303_235918_s4/246287962/ccs	12280
m84085_250303_235918_s4/264768933/ccs	10342
m84085_250303_235918_s4/242880802/ccs	10147
m84085_250303_235918_s4/255922179/ccs	13367
m84085_250303_235918_s4/222629249/ccs	5623
m84085_250303_235918_s4/267587210/ccs	6360
m84085_250303_235918_s4/252908651/ccs	11532
m84085_250303_235918_s4/222696431/ccs	13041
m84085_250303_235918_s4/259722295/ccs	12909
m84085_250303_235918_s4/240063545/ccs	9548
m84085_250303_235918_s4/266866928/ccs	5778
m84085_250303_235918_s4/211490445/ccs	5425
m84085_250303_235918_s4/247795253/ccs	5956
m84085_250303_235918_s4/266932716/ccs	10856
m84085_250303_235918_s4/221385108/ccs	5116
m84085_250303_235918_s4/223482140/ccs	14086
m84085_250303_235918_s4/254872869/ccs	11458
m84085_250303_235918_s4/235607505/ccs	8643
m84085_250303_235918_s4/257955695/ccs	4044
m84085_250303_235918_s4/241832725/ccs	18804
m84085_250303_235918_s4/243930526/ccs	16533
m84085_250303_235918_s4/250548592/ccs	9220
m84085_250303_235918_s4/238751103/ccs	16491
m84085_250303_235918_s4/243010854/ccs	3816
m84085_250303_235918_s4/238556209/ccs	13819
m84085_250303_235918_s4/227152990/ccs	11682
m84085_250303_235918_s4/218306427/ccs	5962
m84085_250303_235918_s4/244782716/ccs	8051
m84085_250303_235918_s4/190059641/ccs	7155
m84085_250303_235918_s4/237572611/ccs	10985
m84085_250303_235918_s4/263788125/ccs	14385
m84085_250303_235918_s4/240586334/ccs	5826
m84085_250303_235918_s4/257232209/ccs	10763
m84085_250303_235918_s4/241243505/ccs	11665
m84085_250303_235918_s4/259658567/ccs	20575
m84085_250303_235918_s4/227414399/ccs	14918
m84085_250303_235918_s4/235999256/ccs	14730
m84085_250303_235918_s4/226432578/ccs	7347
m84085_250303_235918_s4/256314465/ccs	11313
m84085_250303_235918_s4/232855171/ccs	5893
m84085_250303_235918_s4/251792604/ccs	14428
m84085_250303_235918_s4/239669660/ccs	6904
m84085_250303_235918_s4/244323870/ccs	4942
m84085_250303_235918_s4/243076857/ccs	9383
m84085_250303_235918_s4/227283284/ccs	10807
m84085_250303_235918_s4/232658314/ccs	8236
m84085_250303_235918_s4/248779542/ccs	4147
m84085_250303_235918_s4/254744074/ccs	11195
m84085_250303_235918_s4/227806820/ccs	7786
m84085_250303_235918_s4/248124924/ccs	17626
m84085_250303_235918_s4/259001902/ccs	10407
m84085_250303_235918_s4/251333985/ccs	9071
m84085_250303_235918_s4/216534783/ccs	19397
m84085_250303_235918_s4/230822699/ccs	4886
m84085_250303_235918_s4/226497274/ccs	11126
m84085_250303_235918_s4/219355058/ccs	3536
m84085_250303_235918_s4/238753158/ccs	8904
m84085_250303_235918_s4/236655058/ccs	9715
m84085_250303_235918_s4/209916824/ccs	8113
m84085_250303_235918_s4/245699073/ccs	12502
m84085_250303_235918_s4/262082252/ccs	14629
m84085_250303_235918_s4/256183534/ccs	15331
m84085_250303_235918_s4/248714992/ccs	18274
m84085_250303_235918_s4/217123895/ccs	7008
m84085_250303_235918_s4/236459168/ccs	5138
m84085_250303_235918_s4/227938103/ccs	14174
m84085_250303_235918_s4/244649206/ccs	3949
m84085_250303_235918_s4/260117932/ccs	14264
m84085_250303_235918_s4/264506833/ccs	13134
m84085_250303_235918_s4/211751194/ccs	14229
m84085_250303_235918_s4/251401796/ccs	8548
m84085_250303_235918_s4/247992462/ccs	6867
m84085_250303_235918_s4/245372080/ccs	4954
m84085_250303_235918_s4/222630987/ccs	4881
m84085_250303_235918_s4/211817683/ccs	24743
m84085_250303_235918_s4/233705617/ccs	5998
m84085_250303_235918_s4/216274834/ccs	11186
m84085_250303_235918_s4/258346965/ccs	9319
m84085_250303_235918_s4/255267382/ccs	9342
m84085_250303_235918_s4/243406358/ccs	14555
m84085_250303_235918_s4/259263896/ccs	5074
m84085_250303_235918_s4/230821536/ccs	12708
m84085_250303_235918_s4/228725446/ccs	11632
m84085_250303_235918_s4/239472766/ccs	8545
m84085_250303_235918_s4/221975673/ccs	8747
m84085_250303_235918_s4/255987200/ccs	4681
m84085_250303_235918_s4/220007494/ccs	9669
m84085_250303_235918_s4/261691276/ccs	17046
m84085_250303_235918_s4/264310177/ccs	8455
m84085_250303_235918_s4/261231723/ccs	7396
m84085_250303_235918_s4/236327827/ccs	6857
m84085_250303_235918_s4/244191478/ccs	6736
m84085_250303_235918_s4/234362122/ccs	12875
m84085_250303_235918_s4/222041458/ccs	6070
m84085_250303_235918_s4/248647468/ccs	5719
m84085_250303_235918_s4/227676358/ccs	13088
m84085_250303_235918_s4/241374383/ccs	11423
m84085_250303_235918_s4/251795283/ccs	12459
m84085_250303_235918_s4/217058951/ccs	10687
m84085_250303_235918_s4/211883111/ccs	12903
m84085_250303_235918_s4/243602085/ccs	8241
m84085_250303_235918_s4/261229866/ccs	8519
m84085_250303_235918_s4/232265661/ccs	8950
m84085_250303_235918_s4/219027282/ccs	4853
m84085_250303_235918_s4/230952854/ccs	5691
m84085_250303_235918_s4/242028471/ccs	16503
m84085_250303_235918_s4/256512725/ccs	16026
m84085_250303_235918_s4/237180342/ccs	3715
m84085_250303_235918_s4/236261776/ccs	8458
m84085_250303_235918_s4/236392215/ccs	15496
m84085_250303_235918_s4/246549597/ccs	12094
m84085_250303_235918_s4/250091364/ccs	14754
m84085_250303_235918_s4/258807407/ccs	9408
m84085_250303_235918_s4/218173101/ccs	4040
m84085_250303_235918_s4/212077935/ccs	6125
m84085_250303_235918_s4/219288386/ccs	8370
m84085_250303_235918_s4/263066060/ccs	3214
m84085_250303_235918_s4/232919021/ccs	5242
m84085_250303_235918_s4/253037814/ccs	5205
m84085_250303_235918_s4/250287010/ccs	3452
m84085_250303_235918_s4/221975406/ccs	3749
m84085_250303_235918_s4/240980927/ccs	18097
m84085_250303_235918_s4/247797412/ccs	9837
m84085_250303_235918_s4/211815867/ccs	13608
m84085_250303_235918_s4/255987050/ccs	9177
m84085_250303_235918_s4/237965184/ccs	5183
m84085_250303_235918_s4/264902464/ccs	9502
m84085_250303_235918_s4/266734686/ccs	9493
m84085_250303_235918_s4/234558999/ccs	6215
m84085_250303_235918_s4/256249038/ccs	7266
m84085_250303_235918_s4/240785135/ccs	11439
m84085_250303_235918_s4/246682454/ccs	8383
m84085_250303_235918_s4/249499507/ccs	15672
m84085_250303_235918_s4/242554108/ccs	8174
m84085_250303_235918_s4/226497816/ccs	14417
m84085_250303_235918_s4/253366938/ccs	12479
m84085_250303_235918_s4/261035032/ccs	7315
m84085_250303_235918_s4/267523074/ccs	14804
m84085_250303_235918_s4/259002666/ccs	13614
m84085_250303_235918_s4/234164938/ccs	3549
m84085_250303_235918_s4/248583940/ccs	16622
m84085_250303_235918_s4/238228376/ccs	7510
m84085_250303_235918_s4/258542919/ccs	12939
m84085_250303_235918_s4/237048217/ccs	17121
m84085_250303_235918_s4/259263504/ccs	9886
m84085_250303_235918_s4/266538778/ccs	13062
m84085_250303_235918_s4/257691792/ccs	14507
m84085_250303_235918_s4/245764215/ccs	8861
m84085_250303_235918_s4/220533386/ccs	10253
m84085_250303_235918_s4/228528530/ccs	5417
m84085_250303_235918_s4/238423486/ccs	17790
m84085_250303_235918_s4/236525434/ccs	5502
m84085_250303_235918_s4/250156879/ccs	5280
m84085_250303_235918_s4/232198304/ccs	4926
m84085_250303_235918_s4/227675746/ccs	15523
m84085_250303_235918_s4/251139605/ccs	7980
m84085_250303_235918_s4/212013225/ccs	7220
